CREATION_ANALYSIS_KEY,CREATION_DATE,COMPONENT,EFFORT,TYPE,TAGS,SEVERITY,maintainability_Rating,security_Rating,RELIABILITY_RATING,DEVELOPMENT_COST,MESSAGE
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-cli/src/main/java/org/apache/cocoon/environment/commandline/CommandLineResponse.java,5,CODE_SMELL,suspicious,0.4,1,0.1,0.05,3046680,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-cli/src/main/java/org/apache/cocoon/environment/commandline/CommandLineSession.java,5,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Move this variable to comply with Java Code Conventions.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-cli/src/main/java/org/apache/cocoon/environment/commandline/CommandLineSession.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Anti-singleton
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-cli/src/main/java/org/apache/cocoon/environment/commandline/CommandLineSession.java,5,CODE_SMELL,suspicious,0.4,1,0.1,0.05,3046680,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-cli/src/main/java/org/apache/cocoon/environment/commandline/CommandLineSession.java,20,CODE_SMELL,performance,0.4,1,0.1,0.05,3046680,"Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap""."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/acting/SessionStateAction.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/CategoryNode.java,5,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Move this variable to comply with Java Code Conventions.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/ActionSetNode.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Replace all tab characters in this file by sequences of white-spaces.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/ActionSetNode.java,5,CODE_SMELL,"misra,unused",0.4,1,0.1,0.05,3046680,This block of commented-out lines of code should be removed.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/ActTypeNode.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
